,uf,municipio,longitude,latitude
128,AM,Apuí,-59.895956,-7.194091
129,AM,Atalaia do Norte,-70.1967,-4.370551
130,AM,Autazes,-59.125589,-3.585743
131,AM,Barcelos,-62.931053,-0.983373
132,AM,Barreirinha,-57.067897,-2.798863
133,AM,Benjamin Constant,-70.034157,-4.37768
134,AM,Beruri,-61.36162,-3.898736
135,AM,Boa Vista do Ramos,-57.587333,-2.974087
136,AM,Boca do Acre,-67.391926,-8.742322
137,AM,Borba,-59.58738,-4.391539
138,AM,Caapiranga,-61.220557,-3.315372
139,AM,Canutama,-64.39528,-6.52582
140,AM,Carauari,-66.908559,-4.881605
141,AM,Careiro,-60.369046,-3.768027
142,AM,Careiro da Várzea,-59.79639,-3.196979
143,AM,Coari,-63.144091,-4.094121
144,AM,Codajás,-62.065787,-3.830528
145,AM,Eirunepé,-69.86616,-6.656767
146,AM,Envira,-70.028143,-7.437889
147,AM,Fonte Boa,-66.094212,-2.523424
148,AM,Guajará,-72.590713,-7.537971
149,AM,Humaitá,-63.032743,-7.511712
150,AM,Ipixuna,-71.693426,-7.047909
151,AM,Iranduba,-60.189953,-3.274792
152,AM,Itacoatiara,-58.444874,-3.138607
153,AM,Itamarati,-68.260027,-6.424591
154,AM,Itapiranga,-58.029257,-2.74081
155,AM,Japurá,-66.929051,-1.882366
156,AM,Juruá,-66.071795,-3.484384
157,AM,Jutaí,-66.75947,-2.758144
158,AM,Lábrea,-64.794765,-7.264133
159,AM,Manacapuru,-60.621581,-3.290657
160,AM,Manaquiri,-60.461239,-3.440784
161,AM,Manaus,-60.02123,-3.118662
162,AM,Manicoré,-61.289483,-5.804618
163,AM,Maraã,-65.572995,-1.853129
164,AM,Maués,-57.706731,-3.392891
165,AM,Nhamundá,-56.711151,-2.207932
166,AM,Nova Olinda do Norte,-59.09404,-3.900367
167,AM,Novo Airão,-60.943404,-2.636371
168,AM,Novo Aripuanã,-60.373179,-5.125929
169,AM,Parintins,-56.729045,-2.637412
170,AM,Pauini,-66.992039,-7.713109
171,AM,Presidente Figueiredo,-60.02338,-2.029813
172,AM,Rio Preto da Eva,-59.685793,-2.704497
173,AM,Santa Isabel do Rio Negro,-65.009205,-0.410824
174,AM,Santo Antônio do Içá,-67.946279,-3.095443
175,AM,Silves,-58.248031,-2.81748
176,AM,São Gabriel da Cachoeira,-67.084042,-0.11909
177,AM,São Paulo de Olivença,-68.964581,-3.472919
178,AM,São Sebastião do Uatumã,-57.873049,-2.559147
179,AM,Tabatinga,-69.938273,-4.241597
180,AM,Tapauá,-63.1808,-5.620855
181,AM,Tefé,-64.719343,-3.368219
182,AM,Tonantins,-67.791904,-2.865825
183,AM,Uarini,-65.113298,-2.996087
184,AM,Urucará,-57.753797,-2.529364
185,AM,Urucurituba,-58.149637,-3.128412
186,AP,Amapá,-50.795653,2.052669
187,AP,Calçoene,-50.951233,2.504747
188,AP,Cutias,-50.799169,0.987565
189,AP,Ferreira Gomes,-51.179523,0.857256
190,AP,Itaubal,-50.670828,0.596137
191,AP,Laranjal do Jari,-52.452962,-0.804911
192,AP,Macapá,-51.069395,0.034934
193,AP,Mazagão,-51.28913,-0.11336
194,AP,Oiapoque,-51.833123,3.84074
195,AP,Pedra Branca do Amaparí,-51.950306,0.777424
196,AP,Porto Grande,-51.415499,0.71243
197,AP,Pracuúba,-50.789248,1.745427
198,AP,Santana,-51.172924,-0.045434
199,AP,Serra do Navio,-52.003636,0.901357
200,AP,Tartarugalzinho,-50.90874,1.506519
201,AP,Vitória do Jari,-52.424001,-0.938
202,BA,Abaré,-39.116178,-8.720734
203,BA,Abaíra,-41.661869,-13.24883
204,BA,Acajutiba,-38.019737,-11.657522
205,BA,Adustina,-38.111265,-10.54369
206,BA,Aiquara,-39.893653,-14.126918
207,BA,Alagoinhas,-38.420772,-12.133526
208,BA,Alcobaça,-39.203609,-17.519468
209,BA,Almadina,-39.641491,-14.708869
210,BA,Amargosa,-39.601966,-13.021462
211,BA,Amélia Rodrigues,-38.756289,-12.391429
212,BA,América Dourada,-41.439007,-11.442938
213,BA,Anagé,-41.135569,-14.61512
214,BA,Andaraí,-41.329658,-12.804916
215,BA,Andorinha,-39.839142,-10.348214
216,BA,Angical,-44.700272,-12.006313
217,BA,Anguera,-39.246186,-12.146157
218,BA,Antas,-38.340118,-10.385621
219,BA,Antônio Cardoso,-39.117555,-12.433493
220,BA,Antônio Gonçalves,-40.278489,-10.576686
221,BA,Aporá,-38.081418,-11.657708
222,BA,Apuarema,-39.750148,-13.854241
223,BA,Aracatu,-41.464783,-14.427986
224,BA,Araci,-38.958385,-11.325316
225,BA,Aramari,-38.496937,-12.088399
226,BA,Arataca,-39.419017,-15.265099
227,BA,Aratuípe,-39.003763,-13.071595
228,BA,Araças,-38.202658,-12.220038
229,BA,Aurelino Leal,-39.329035,-14.320954
230,BA,Baianópolis,-44.538829,-12.301641
231,BA,Baixa Grande,-40.16897,-11.951884
232,BA,Banzaê,-38.621243,-10.578784
233,BA,Barra,-43.145913,-11.0859
234,BA,Barra da Estiva,-41.334697,-13.623699
235,BA,Barra do Choça,-40.579058,-14.865423
236,BA,Barra do Mendes,-42.058999,-11.81
237,BA,Barra do Rocha,-39.599098,-14.199994
238,BA,Barreiras,-44.996838,-12.143864
239,BA,Barro Alto,-41.905441,-11.760493
240,BA,Barro Preto,-39.476029,-14.794773
241,BA,Barrocas,-39.077594,-11.527222
242,BA,Belmonte,-38.87578,-15.860789
243,BA,Belo Campo,-41.265172,-15.033362
244,BA,Biritinga,-38.805055,-11.607156
245,BA,Boa Nova,-40.206444,-14.359754
246,BA,Boa Vista do Tupim,-40.606376,-12.649774
247,BA,Bom Jesus da Lapa,-43.410754,-13.250571
248,BA,Bom Jesus da Serra,-40.512556,-14.366312
249,BA,Boninal,-41.828604,-12.706887
250,BA,Bonito,-41.264698,-11.966768
251,BA,Boquira,-42.732354,-12.820536
252,BA,Botuporã,-42.516301,-13.377235
253,BA,Brejolândia,-43.967855,-12.481547
254,BA,Brejões,-39.798797,-13.103948
255,BA,Brotas de Macaúbas,-42.632609,-11.991452
256,BA,Brumado,-41.669592,-14.202127
257,BA,Buerarema,-39.302849,-14.959497
258,BA,Buritirama,-43.630231,-10.717055
259,BA,Caatiba,-40.409156,-14.969854
260,BA,Cabaceiras do Paraguaçu,-39.190231,-12.531694
261,BA,Cachoeira,-38.958695,-12.599443
262,BA,Caculé,-42.222872,-14.500281
263,BA,Caetanos,-40.917506,-14.334745
264,BA,Caetité,-42.486133,-14.068422
265,BA,Cafarnaum,-41.468823,-11.691399
266,BA,Cairu,-39.046525,-13.490377
267,BA,Caldeirão Grande,-40.295577,-11.020798
268,BA,Camacan,-39.491937,-15.414157
269,BA,Camamu,-39.107082,-13.939773
270,BA,Camaçari,-38.326265,-12.699638
271,BA,Campo Alegre de Lourdes,-43.01258,-9.522212
272,BA,Campo Formoso,-40.320031,-10.51055
273,BA,Canarana,-41.767705,-11.685831
274,BA,Canavieiras,-38.953648,-15.672205
275,BA,Candeal,-39.120277,-11.804851
276,BA,Candeias,-38.547152,-12.671566
277,BA,Candiba,-42.866694,-14.409738
278,BA,Cansanção,-39.494388,-10.664713
279,BA,Canudos,-39.147059,-9.900135
280,BA,Canápolis,-44.200949,-13.072454
281,BA,Capela do Alto Alegre,-39.834912,-11.665797
282,BA,Capim Grosso,-40.008951,-11.379659
283,BA,Caravelas,-39.259679,-17.726839
284,BA,Caraíbas,-41.260336,-14.717677
285,BA,Cardeal da Silva,-37.946905,-11.947191
286,BA,Carinhanha,-43.772349,-14.298524
287,BA,Casa Nova,-40.973977,-9.164083
288,BA,Castro Alves,-39.424753,-12.75795
289,BA,Catolândia,-44.864808,-12.310013
290,BA,Catu,-38.379108,-12.351274
291,BA,Caturama,-42.290385,-13.323938
292,BA,Caém,-40.432039,-11.067693
293,BA,Central,-42.111625,-11.137576
294,BA,Chorrochó,-39.097942,-8.969498
295,BA,Cipó,-38.517942,-11.103172
296,BA,Coaraci,-39.555609,-14.636996
297,BA,Cocos,-44.53522,-14.18136
298,BA,Conceição da Feira,-38.997823,-12.507835
299,BA,Conceição do Almeida,-39.171466,-12.783579
300,BA,Conceição do Coité,-39.280827,-11.559953
301,BA,Conceição do Jacuípe,-38.768433,-12.326831
302,BA,Conde,-37.613094,-11.817937
303,BA,Condeúba,-41.971829,-14.902227
304,BA,Contendas do Sincorá,-41.047953,-13.75369
305,BA,Coração de Maria,-38.748654,-12.233332
306,BA,Cordeiros,-41.930796,-15.035641
307,BA,Coribe,-44.458593,-13.823216
308,BA,Coronel João Sá,-37.919825,-10.2847
309,BA,Correntina,-44.633335,-13.347674
310,BA,Cotegipe,-44.256559,-12.022761
311,BA,Cravolândia,-39.803083,-13.353063
312,BA,Cristópolis,-44.421358,-12.224899
313,BA,Crisópolis,-38.15148,-11.505929
314,BA,Cruz das Almas,-39.100787,-12.667516
315,BA,Curaçá,-39.899671,-8.984577
316,BA,Cândido Sales,-41.241438,-15.499309
317,BA,Cícero Dantas,-38.379377,-10.589664
318,BA,Dias d`Ávila,-38.292645,-12.61875
319,BA,Dom Basílio,-41.767663,-13.756499
320,BA,Dom Macedo Costa,-39.192259,-12.901582
321,BA,Dário Meira,-39.903129,-14.4229
322,BA,Elísio Medrado,-39.519087,-12.941743
323,BA,Encruzilhada,-40.912432,-15.530168
324,BA,Entre Rios,-38.087125,-11.939164
325,BA,Esplanada,-37.943216,-11.794215
326,BA,Euclides da Cunha,-39.015286,-10.507754
327,BA,Eunápolis,-39.582122,-16.371498
328,BA,Feira da Mata,-44.274424,-14.204405
329,BA,Feira de Santana,-38.966293,-12.266429
330,BA,Filadélfia,-40.14371,-10.740475
331,BA,Firmino Alves,-39.926859,-14.982334
332,BA,Floresta Azul,-39.657877,-14.862934
333,BA,Formosa do Rio Preto,-45.19298,-11.032812
334,BA,Fátima,-38.223891,-10.616013
335,BA,Gandu,-39.474651,-13.744101
336,BA,Gavião,-39.775751,-11.468796
337,BA,Gentio do Ouro,-42.507652,-11.434233
338,BA,Glória,-38.254397,-9.343822
339,BA,Gongogi,-39.46899,-14.319481
340,BA,Governador Mangabeira,-39.041207,-12.599415
341,BA,Guajeru,-41.938064,-14.54668
342,BA,Guanambi,-42.779943,-14.223066
343,BA,Guaratinga,-39.784713,-16.583276
344,BA,Heliópolis,-38.290664,-10.682539
345,BA,Iaçu,-40.205609,-12.766637
346,BA,Ibiassucê,-42.257026,-14.271126
347,BA,Ibicaraí,-39.591434,-14.857877
348,BA,Ibicoara,-41.283989,-13.405918
349,BA,Ibicuí,-39.987915,-14.84496
350,BA,Ibipeba,-42.019515,-11.643775
351,BA,Ibipitanga,-42.485568,-12.880435
352,BA,Ibiquera,-40.933774,-12.644354
353,BA,Ibirapitanga,-39.378737,-14.164898
354,BA,Ibirapuã,-40.112907,-17.683151
355,BA,Ibirataia,-39.645935,-14.064316
356,BA,Ibitiara,-42.217946,-12.650181
357,BA,Ibititá,-41.97481,-11.541426
358,BA,Ibotirama,-43.21669,-12.177876
359,BA,Ichu,-39.190523,-11.743065
360,BA,Igaporã,-42.715508,-13.774025
361,BA,Igrapiúna,-39.136129,-13.829543
362,BA,Iguaí,-40.089417,-14.752754
363,BA,Ilhéus,-39.04602,-14.793045
364,BA,Inhambupe,-38.355048,-11.780955
365,BA,Ipecaetá,-39.306921,-12.302846
366,BA,Ipiaú,-39.735252,-14.12263
367,BA,Ipirá,-39.735941,-12.156057
368,BA,Ipupiara,-42.617913,-11.821881
